 22 C-HiZ_z1_251           150.265870   2.336187  21.6813  22.5280  21.9211 -21.43   5.71518502948853e+09 0.000000 I  1  44.169468  1.142579 0.342774 0.0 0.813590 36.40065 12.28013 0 0.854378   5.50791587715710e-17   2.92640220662159e+41  6.691326  99.9284 0 0  82.000000  63.64026  122.89309  63.64838  123.00347   25.89101   55.65083 0 RT    167.24   72.94   108.04    0.00   56.738    9.648   45.066    7.663 O    0.20538    0.10000    0.92462    0.59206    0.46196
 23 C-HiZ_z1_255           150.271370   2.331806  22.5712  23.1416  22.6790 -20.32   2.05603282752000e+09 0.000000 I  1  75.338333  5.042352 1.512706 0.0 0.433132 66.91388 18.38278 0 0.850220   3.42389460985093e-17   1.79740467407298e+41  4.109832  53.2476 0 0 -82.000000  77.33578   88.48274  79.40246   89.88584    7.20225   20.56236 1 RT+   539.35  199.30   242.14    0.00   41.195   20.597   34.399   17.199 M    0.90776    0.27233    1.38026    0.95501    0.90806
 24 C-HiZ_z1_257           150.273210   2.273189  20.2312  21.7002  20.6442 -23.07   2.58839207173984e+10 0.000000 I  1  54.880512  1.801004 0.540301 0.0 0.813998 36.35924 12.27185 0 0.850077   1.23097638263439e-16   6.45944256240033e+41 14.769753 187.9456 0 0  68.000000  47.93595   90.56184  63.73498  120.10873   25.64006   54.39714 0 RT+   257.42  112.79   166.41    0.00   72.897   13.886   65.891   12.551 O    0.32425    0.10000    0.91134    0.58907    0.46314
 25 C-HiZ_z1_258           150.273550   1.882704  20.9243  22.3665  21.4247 -22.11   1.06912976684087e+10 0.000000 I  1  16.356491  4.604157 1.381247 0.0 0.653352 50.59384 15.11877 0 0.837601   5.51524549833112e-17   2.79055620417747e+41  6.380709 108.3456 0 0  39.000000 120.51196  160.74628 131.65508  173.78371   27.25587   57.62338 0 RT+   952.15  383.57   506.65    0.00   42.970   21.485   38.440   19.220 M    1.32101    0.39630    2.09476    1.53411    1.40677
 26 C-HiZ_z1_263           150.286370   2.175375  23.3889  23.6618  23.1803 -19.83   1.30927276260462e+09 0.000000 I  1 -80.564377  1.401950 0.420585 0.0 0.531525 59.82673 16.96535 0 0.837025   5.70378468422219e-17   2.88106485936684e+41  6.587660  62.8008 0 0 -52.000000  24.60100   32.16528  31.34244   40.93387    5.00187   11.26842 0 RT     68.29   26.32    33.09    0.00   41.491   10.043   40.073    9.700 O    0.26988    0.10000    0.30203    0.16837    0.15099
 27 C-HiZ_z1_265           150.287870   1.851194  22.9452  23.4808  23.0469 -19.67   1.12987446361329e+09 0.000000 I  1  41.708332  3.200606 0.960182 0.0 0.336975 73.93081 19.78616 0 0.783404   1.56245744311980e-17   6.70588710733972e+40  1.533326  64.8899 0 0  46.000000  58.54972   63.79856  61.18846   65.95412    3.15753   12.40349 0 RT    251.20   90.81   105.84    0.00   53.084   26.542   45.507   22.753 M    0.93913    0.28174    2.22995    1.51533    1.46005
 28 C-HiZ_z1_267           150.293370   1.885821  22.3030  22.9426  22.4336 -20.42   2.25439596109858e+09 0.000000 I  1 -86.899925  4.431997 1.329599 0.0 0.862491 31.09831 11.21966 0 0.839406   2.99127622583741e-17   1.52154952285790e+41  3.479079  41.4633 0 0  78.000000  29.70366   59.38772  39.53081   78.20140   19.53221   40.97718 0 RT    412.44  191.59   296.35    0.00   36.385   18.193   33.776   16.888 M    1.27074    0.38122    1.25666    1.05212    0.87857
 29 C-HiZ_z1_268           150.298860   2.193630  22.1909  23.1648  22.5634 -20.96   3.70706161242761e+09 0.000000 I  1 -24.296738  2.868645 0.860594 0.0 0.473268 64.03791 17.80758 0 0.835713   3.36058721447242e-17   1.69093720907009e+41  3.866390  79.2395 0 0 -11.000000  54.60065   65.85973  69.93550   83.72894    8.93470   21.94505 0 RT    285.82  108.30   135.50    0.00   73.958   36.979   50.590   25.295 M    0.55249    0.16575    1.55104    1.09136    1.02626
 30 C-HiZ_z1_273           150.301400   1.904334  21.8442  23.1739  22.3163 -21.28   4.97771980920375e+09 0.000000 I  1 -78.452179  1.584525 0.475358 0.0 0.700147 46.77932 14.35586 0 0.835105   4.63549164797214e-17   2.32824857676731e+41  5.323626  79.9182 0 0 -25.000000  39.42672   59.37769  42.75742   64.02815   10.93474   23.08047 0 DN    120.73   49.60    67.38    0.00   67.758    3.553   67.333    3.531 O    0.45506    0.13652    0.97407    0.54154    0.44458
 31 C-HiZ_z1_275           150.303450   2.288197  21.4584  22.3917  21.7317 -21.83   8.26095288168710e+09 0.000000 I  1 -73.039093  2.456358 0.736907 0.0 0.477257 63.75156 17.75031 0 0.850856   9.06886306644631e-17   4.76955909581338e+41 10.905771 105.5845 0 0 -80.000000  83.89854  102.92084  80.67122   98.43827    9.38594   24.41523 0 RT+   287.74  107.79   133.28    0.00   46.039    3.314   43.796    3.153 O    0.44211    0.13263    0.70424    0.34723    0.30752
