# x_l [fm]	x_t [fm]	E_x [GeV^2]	ERR E_x [GeV^2]
7.601499999999999924e-02 -2.128423999999999872e+00 -3.069999999999999812e-04 4.279999999999999950e-04
7.601499999999999924e-02 -1.976393999999999984e+00 -3.770000000000000022e-04 5.090000000000000123e-04
7.601499999999999924e-02 -1.824362999999999957e+00 5.370000000000000424e-04 4.229999999999999819e-04
7.601499999999999924e-02 -1.672333000000000069e+00 6.830000000000000134e-04 4.330000000000000081e-04
7.601499999999999924e-02 -1.520302999999999960e+00 5.270000000000000162e-04 5.190000000000000386e-04
7.601499999999999924e-02 -1.368273000000000073e+00 8.999999999999999754e-04 5.150000000000000498e-04
7.601499999999999924e-02 -1.216242000000000045e+00 1.492000000000000054e-03 5.670000000000000127e-04
7.601499999999999924e-02 -1.064211999999999936e+00 1.920999999999999965e-03 5.199999999999999544e-04
7.601499999999999924e-02 -9.121820000000000483e-01 5.465000000000000240e-03 5.789999999999999791e-04
7.601499999999999924e-02 -7.601510000000000211e-01 1.193100000000000063e-02 6.400000000000000524e-04
7.601499999999999924e-02 -6.081210000000000226e-01 2.560000000000000123e-02 6.080000000000000335e-04
7.601499999999999924e-02 -4.560910000000000242e-01 5.566499999999999920e-02 5.770000000000000389e-04
7.601499999999999924e-02 -3.040610000000000257e-01 1.255940000000000112e-01 5.580000000000000107e-04
7.601499999999999924e-02 -1.520299999999999985e-01 2.153589999999999949e-01 7.029999999999999574e-04
7.601499999999999924e-02 0.000000000000000000e+00 3.063529999999999864e-01 8.499999999999999526e-04
7.601499999999999924e-02 1.520299999999999985e-01 2.153589999999999949e-01 7.029999999999999574e-04
7.601499999999999924e-02 3.040610000000000257e-01 1.255940000000000112e-01 5.580000000000000107e-04
7.601499999999999924e-02 4.560910000000000242e-01 5.566499999999999920e-02 5.770000000000000389e-04
7.601499999999999924e-02 6.081210000000000226e-01 2.560000000000000123e-02 6.080000000000000335e-04
7.601499999999999924e-02 7.601510000000000211e-01 1.193100000000000063e-02 6.400000000000000524e-04
7.601499999999999924e-02 9.121820000000000483e-01 5.465000000000000240e-03 5.789999999999999791e-04
7.601499999999999924e-02 1.064211999999999936e+00 1.920999999999999965e-03 5.199999999999999544e-04
7.601499999999999924e-02 1.216242000000000045e+00 1.492000000000000054e-03 5.670000000000000127e-04
7.601499999999999924e-02 1.368273000000000073e+00 8.999999999999999754e-04 5.150000000000000498e-04
7.601499999999999924e-02 1.520302999999999960e+00 5.270000000000000162e-04 5.190000000000000386e-04
7.601499999999999924e-02 1.672333000000000069e+00 6.830000000000000134e-04 4.330000000000000081e-04
7.601499999999999924e-02 1.824362999999999957e+00 5.370000000000000424e-04 4.229999999999999819e-04
7.601499999999999924e-02 1.976393999999999984e+00 -3.770000000000000022e-04 5.090000000000000123e-04
7.601499999999999924e-02 2.128423999999999872e+00 -3.069999999999999812e-04 4.279999999999999950e-04
2.280449999999999977e-01 -2.128423999999999872e+00 -2.970000000000000092e-04 7.399999999999999894e-04
