pair,family,linked_lk,unlinked_lk,linked_dmin,unlinked_dmin,mode,width,tilt,amplitude,screen_rel_l2,field_rel_l2,field_rel_l1,field_corr,operator_rel,descriptor_rms,descriptor_max,fine_score
0,0,-1.000129323002562,0.00041257286908927867,0.0691774285219786,0.0578690848622871,split,8.023917692039081,-0.7799292388116015,0.16499999999999998,0.0036580333018333914,0.00782296344423388,0.0014928668672451963,0.999969293453378,0.0030535314919396357,0.08133847898835075,0.25,0.01295862341583029
1,1,-1.0001193163283315,-1.5241603524999328e-05,0.06323232157843006,0.0567839679540096,split,13.142930346943842,-0.5805885003238669,0.12,0.012653568860725266,0.010600023526465382,0.0036392975955376245,0.9999437073316602,0.0035165233550436665,0.04315399430546718,0.19480519480519481,0.013988506416004024
2,2,-1.000174125697664,0.00045938165530732227,0.06848397375113793,0.05710597901252174,split,8.088283937719714,-0.04481804350454621,0.13,0.0024502227165469717,0.004832963403387936,0.0008885564994065374,0.9999884423236883,0.003417054637145466,0.07984663762453174,0.21666666666666667,0.010021264407615436
3,3,-1.000166222317795,8.221262626710017e-05,0.06650023190235567,0.05508456813086302,split,10.16282762651524,0.6966971332438708,0.175,0.008630513286257989,0.0077281016512790995,0.0024671374123347773,0.9999700692307703,0.002099780789018164,0.08402265645699061,0.28124999999999994,0.012664157750284986
4,4,-1.0001772222439385,3.554186712169526e-05,0.05984472850992905,0.05798754327957875,split,10.71634046967348,-0.4569372477374816,0.13999999999999999,0.011801655027437321,0.009849494454443905,0.0028445750404367956,0.9999513550778112,0.0026900916596685376,0.07641469165600462,0.25781249999999994,0.014611761118128124
