family,tc,jump1,jump2,jump3,fit_rms1,fit_rms2,fit_rms3,cross1,cross2,cross3,field_near_rel,slope_change_norm
0,0.058238844871520985,-5.1144290715399165e-05,-4.429309259279535e-05,-4.432883506311214e-05,7.899670692934736e-06,8.124459507249896e-06,8.006983672425772e-06,-4.858048620892674e-05,-1.9555514852775957e-05,-2.943351531214944e-05,0.0018890732574599449,0.011005269990518488
1,0.12505219459533692,1.654453931099198e-05,2.2668648085755194e-05,2.2504263018419124e-05,9.539393180489392e-07,9.247335344514758e-07,7.911233808076375e-07,-4.05279982604867e-05,4.348926463659808e-05,8.170700014353827e-06,0.002876971322004234,0.0033098191433312907
2,0.40725476264953614,-3.179362302141442e-05,-5.6844642071673945e-05,-7.643958607772561e-05,5.191863125079512e-06,1.1202577515481962e-05,7.226183720591059e-06,-0.00035184061134962974,-0.0006373006420190563,-0.0003716872452779185,0.010324683583932185,0.0023834925577508647
3,0.20807455062866212,5.320969074240622e-06,3.847976395299213e-06,7.009252989575998e-06,7.90640296914984e-06,7.002447507707265e-06,8.276629405976892e-06,-1.7545569832577712e-06,0.0001362859404041572,4.363913911742401e-05,0.0038858157078489526,0.0013465468907197273
4,0.2783644437789918,3.8836572767486643e-05,3.310104814602255e-05,4.28639475016368e-05,8.239635593490093e-06,7.397385988681804e-06,9.781020451248308e-06,-0.00011522734138580404,-0.00011665497179791373,-4.5860125625019066e-05,0.006629531614203782,0.001978536176761678
