metric,mode1_r,mode2_r,mode3_r
rms,0.4914072651284737,0.43651271625159715,0.6078976721504161
length_rel,0.7205492324332772,0.46954315009390435,0.1648136615706577
r2_rel,0.8812411493363945,0.7096179566813788,0.592125812938205
quadrupole_rel,0.8804651590180924,0.7141274849984789,0.6463700617689387
curvature_change,-0.1157006817710253,-0.03123887229405702,0.2988099902471117
abs_offset,-0.0001294597609192241,0.1774972976035031,0.579437547347252
tilt,0.3974273264590444,0.1259321474805934,-0.1442034237540507
