seed,modes,H_initial,H_final,H_drop,L1_initial,L1_final,L1_drop
17,1,0.789754311895046,0.7897543118950459,1.1102230246251565e-16,0.8308363293196783,0.8308363293196785,-2.220446049250313e-16
17,2,0.8487768133950191,0.4254490383505864,0.49875039982674074,0.8592034813407,0.7739726578032093,0.09919748393534977
17,4,0.8214603536408411,0.5429878449903041,0.33899689427043345,0.9873561250979054,0.847500772707581,0.14164631062217448
17,8,0.5627453646550925,0.08052916109332481,0.8568994679455401,0.7925351323618841,0.2731547441116102,0.6553405231417762
17,16,1.1546652743221566,0.11126556849874839,0.9036382482671729,1.1061757504054497,0.3297217469743949,0.7019264372288572
17,32,1.2293988982713655,0.14829573207541386,0.8793754148601161,1.121133608543127,0.38410083981545073,0.6573995847697617
17,64,1.07499479529094,0.2146768998232551,0.800299591436483,1.1142005928312637,0.4152387937734394,0.6273213311453301
29,1,0.7461826167386383,0.7461826167386383,0.0,0.8354539912613504,0.8354539912613503,1.1102230246251565e-16
29,2,0.7137033230618494,0.31744515088144676,0.5552141336268697,0.8333885371310905,0.6605113984482391,0.20743882472630903
29,4,0.7278673219309179,0.1487784164615504,0.7955967908177762,0.8951342102795701,0.39233362786275394,0.5617041295514562
29,8,0.7384434455771753,0.09545438982231289,0.8707356800388353,0.9168493773737871,0.30955259379170436,0.6623735572811499
29,16,0.7507554787742523,0.11229913878237271,0.8504184891654445,0.9481513597201778,0.34126759073728385,0.6400705570490348
29,32,1.302609156127847,0.15728354185377738,0.8792550005395936,1.206944557145479,0.413980795173272,0.657000984243742
29,64,1.0286327141473197,0.32628986125924236,0.6827926462267742,1.1736982581019964,0.5092484534263887,0.5661163762397489
43,1,0.8656544514895845,0.8656544514895846,-2.220446049250313e-16,0.8867039566010368,0.8867039566010368,0.0
43,2,0.7869354930989991,0.2240106229005458,0.7153380107200673,0.829727894832039,0.5299777063336442,0.3612632410762482
43,4,0.6541918635657679,0.15550647468019207,0.762292251951008,0.8514328323745255,0.4031969334495597,0.5264489245439354
43,8,0.8270778142595938,0.0958550900048314,0.8841039037050684,0.9957350633536011,0.3261041917773275,0.6724990373654012
43,16,0.7778972702241067,0.1381986279119488,0.8223433437783696,0.9744274189653188,0.39506724327298703,0.5945647304419213
43,32,1.048787093214909,0.12963121852972484,0.8763989189337194,1.1136698456812661,0.36292726098650735,0.6741159308623521
43,64,0.8933014472275673,0.3173801687143221,0.6447110102649706,1.046502009228085,0.5198523928725183,0.5032475921800008
