name,offset,width,mode,tilt,amplitude,linking,dmin,rms,length_rel,r2_rel,quadrupole_rel,local_curvature_change
center_B_narrow,0,50,b,0.0,0.125,2.391150794536089e-06,0.06284544648965057,0.024851977037630046,0.004080665806150277,5.82710508805619e-05,0.0014815942203199285,3.506828244011045
center_A_wide_tilt,0,110,a,0.25,0.125,-6.4185617310119856e-06,0.06284564634159007,0.034702786172763116,0.01326280890339066,0.008428679106354121,0.026422732050436513,1.843914779629626
center_split_mid_tilt,0,80,split,-0.25,0.125,-4.998620278062552e-06,0.06284551843765025,0.023257471674274097,0.007494035963764887,0.001440922719836393,0.0045432417983051815,2.151629205988617
left_split_narrow,-48,50,split,-0.25,0.18500000000000003,5.6706884056338576e-06,0.06097115381055342,0.02721223574979567,0.002045976701308357,0.0010005358304804861,0.00420237768958223,5.314540135629307
right_split_mid,48,80,split,0.0,0.20000000000000004,-4.203242559821936e-06,0.06070739998041536,0.03721195467883856,0.006994256491127666,0.0011137691588348718,0.01007972260646432,1.2149358314449425
far_right_split_narrow,96,50,split,-0.25,0.24500000000000005,5.392530752933286e-06,0.06115536039225976,0.03603782572270237,0.003789513154583904,0.005165120038734888,0.01757291898115859,10.519745720026364
