family,offset,width,tilt,move,transition_amplitude,delta_fraction,sham_lk,unlink_lk,sham_dmin,unlink_dmin,field_pair_mismatch,geometry_pair_rms
0,0,18.0,-0.65,a,0.058238844871520985,0.06,-0.9982876376908183,-0.07183685500813482,0.008488874893075427,0.003517972656189536,0.00745986742713624,0.002802637262623039
1,-52,38.0665422445,-0.6509443677,split,0.12505219459533692,0.06,-0.9933400637499304,-0.034437160571692056,0.0058283910223449935,0.0034893450690204175,0.011419114613008482,0.0038519561729617193
2,-30,40.5072345966,0.0878828015,a,0.40725476264953614,0.03,-1.0124895716243247,0.0366266290994438,0.006251936427218998,0.005201932416947565,0.020543804973323414,0.007766562837505681
3,-39,26.7003733344,-0.1390074445,b,0.20807455062866212,0.03,-0.9977500902607818,-0.05718680642553415,0.005421204413047745,0.0026813387543239905,0.007738549194191219,0.003426861666972168
4,97,37.6131351141,0.9683059999,split,0.2783644437789918,0.08,-0.9984603329422879,0.09515098436857419,0.008906389957555723,0.005522245381899192,0.03489525408630565,0.011364247304992602
