beta,grid_n,h,mode,eigenvalue,localized_fraction,dominant_l,purity,score_l0,score_l1,score_l2,score_l3
0.0,23,0.25,0,-0.8626073447081577,0.9136826807862365,0,0.9972046162067282,0.9972046162067282,0.001835407019358631,0.0020001123197423347,0.0025166525511374554
0.0,23,0.25,1,0.5526670899342858,0.6583922216826348,1,0.9734409944616048,6.253696006708067e-32,0.9734409944616048,9.161985663903076e-31,0.012062104530502106
0.0,23,0.25,2,0.5526670899342971,0.6583922216826317,1,0.9734768743013562,1.7488108628577138e-29,0.9734768743013562,4.2484409538313915e-30,0.01206465263458555
0.0,23,0.25,3,0.5526670899343242,0.6583922216826348,1,0.9735466374314313,1.321481159725949e-31,0.9735466374314313,6.1691293010376705e-31,0.012069607052382159
0.0,23,0.25,4,1.3574945097139384,0.4760973904470207,0,0.9244061878614632,0.9244061878614632,0.0021892004357136324,0.002385654362042349,0.0030017629895602903
0.0,23,0.25,5,1.5647501187312864,0.40682803445041443,2,0.9403839490347169,2.0545136850158896e-29,1.664587679400155e-25,0.9403839490347169,1.5036285518605146e-25
0.0,23,0.25,6,1.5647501187313122,0.4068280344515147,2,0.9403839490347409,2.539947745650815e-24,2.0952499812471087e-20,0.9403839490347409,1.8919083265045774e-20
0.0,23,0.25,7,1.5647501187313249,0.40682803445040594,2,0.9403839490347266,9.59234276258374e-30,2.0502621174221423e-29,0.9403839490347266,3.05630334473173e-29
0.0,23,0.25,8,2.0029846247260976,0.5526615784184425,2,0.9591305304022013,2.5378652808115446e-31,7.5377363279275866e-31,0.9591305304022013,1.630125124828579e-30
0.0,23,0.25,9,2.002984624726099,0.5526615784184389,2,0.9591425204612715,5.300624378180573e-29,4.618790838750161e-30,0.9591425204612715,3.038789316788518e-29
0.0,23,0.25,10,2.491637730504155,0.2149475096549708,3,0.872882289218909,1.3664283746918135e-29,2.260216144960647e-28,9.351780051532716e-30,0.872882289218909
0.0,23,0.25,11,2.80466262106827,0.3748645835410098,1,0.48019325818197783,1.3928825132978319e-30,0.48019325818197783,1.156584253093303e-30,0.3834016302649542
0.0,23,0.25,12,2.8046626210682932,0.37486458354100927,1,0.4801592111896308,1.0825268454468313e-29,0.4801592111896308,1.86645068428366e-29,0.3833348542015152
0.0,23,0.25,13,2.958085085402834,0.3090615904417454,3,0.9361273034049702,2.154356831509079e-30,1.8187625421191344e-29,2.6704010726189085e-29,0.9361273034049702
0.0,23,0.25,14,2.958085085402892,0.3090615904417418,3,0.9361273034049702,1.3679620751105099e-31,1.6421031678244853e-26,5.605151812979164e-29,0.9361273034049702
0.0,23,0.25,15,3.7310443739915304,0.48721825880269154,3,0.5334568893005258,1.97233823579349e-19,0.3810491789104687,2.3696985626210666e-16,0.5334568893005258
0.0,23,0.25,16,3.731044373991543,0.4872182666595163,3,0.5334625410764599,3.1707501554738273e-26,0.3810524084995994,3.0038717882381385e-23,0.5334625410764599
0.0,23,0.25,17,3.8305058212445315,0.21929711048032113,2,0.1529367424758597,3.6084462244489795e-22,1.3628709696015919e-18,0.1529367424758597,1.337591539389853e-18
0.0,29,0.19999999999999973,0,-0.8490178487287974,0.9067519950778224,0,0.9971364512495285,0.9971364512495285,0.0004934346673696833,0.0006081052897698696,0.0008074045507265853
0.0,29,0.19999999999999973,1,0.5556971632292608,0.6446172467432991,1,0.9731080677839,5.082861984525323e-31,0.9731080677839,7.104818323331963e-31,0.011898736316172614
0.0,29,0.19999999999999973,2,0.5556971632292669,0.6449526430245653,1,0.9730390540430727,3.225637149136697e-28,0.9730390540430727,4.856036188280867e-28,0.011883589288582042
0.0,29,0.19999999999999973,3,0.5556971632293969,0.6446793244393071,1,0.9730720481968421,1.2315681081286906e-30,0.9730720481968421,2.567540437683517e-30,0.01189083079370106
0.0,29,0.19999999999999973,4,1.3839633940908522,0.4614245582002241,0,0.9227735442761296,0.9227735442761296,0.0005936456413827172,0.00073160456418278,0.0009713792403895257
0.0,29,0.19999999999999973,5,1.569584053520609,0.38939168230504445,2,0.9398090060740887,9.147631640679166e-28,5.085728697533627e-28,0.9398090060740887,9.691838237385e-29
0.0,29,0.19999999999999973,6,1.5695840535206347,0.3897139955021301,2,0.9398090060740895,1.0620873252340284e-30,1.0219486223223322e-28,0.9398090060740895,1.6934246756655403e-28
0.0,29,0.19999999999999973,7,1.569584053520715,0.3892925315249512,2,0.9398090060740899,6.679155836867085e-31,2.2838072826172023e-30,0.9398090060740899,3.672612895852729e-30
0.0,29,0.19999999999999973,8,2.0148881426463574,0.5399275529794009,2,0.9583908478772232,1.1128916538113613e-28,2.0199297122705545e-29,0.9583908478772232,6.479170728641032e-30
0.0,29,0.19999999999999973,9,2.01488814264641,0.5397385736888654,2,0.9583767231825945,1.771383993585668e-30,1.445475058886885e-30,0.9583767231825945,5.7644958150056e-30
0.0,29,0.19999999999999973,10,2.4984858201630438,0.1942775333621291,3,0.8716873964481366,2.4121522668231866e-29,3.6223263165258324e-29,6.089076132707078e-29,0.8716873964481366
0.0,29,0.19999999999999973,11,2.819397746224175,0.3661122346267134,1,0.4756412189221841,8.5684086329577e-31,0.4756412189221841,2.1912148297022345e-30,0.3851167533606014
0.0,29,0.19999999999999973,12,2.8193977462241784,0.3661743604624555,1,0.4755253532061973,4.836841440032041e-30,0.4755253532061973,7.200601274749861e-29,0.3848963096048229
0.0,29,0.19999999999999973,13,2.9719392565491702,0.3001345108757096,3,0.9353811732054202,1.1400950339993201e-30,1.9985370645066112e-27,3.5455896194944304e-30,0.9353811732054202
0.0,29,0.19999999999999973,14,2.971939256549198,0.3002255270621106,3,0.9353811732054201,4.767963298864561e-30,1.0677139373389923e-28,6.999520152397797e-29,0.9353811732054201
0.0,29,0.19999999999999973,15,3.766837413362226,0.47568096016255995,3,0.5299500455016343,6.3829340407110355e-25,0.38413407445000564,1.8726450176697654e-22,0.5299500455016343
0.0,29,0.19999999999999973,16,3.766837413362233,0.4758402551871853,3,0.5299480533152864,3.788514873050768e-19,0.38412582313418236,1.0883648676927414e-16,0.5299480533152864
0.0,29,0.19999999999999973,17,3.8465714214420896,0.21135900179096595,2,0.15142810290243985,4.018497270394869e-23,3.9373267169217285e-20,0.15142810290243985,9.773557959360287e-20
0.25,23,0.25,0,-0.8747824963132814,0.9152457337918334,0,0.9972587389269723,0.9972587389269723,0.001883941678565527,0.0020506700741630057,0.0025892026851735616
0.25,23,0.25,1,0.550989857033049,0.6591034683283069,1,0.973413013881626,9.009942881850011e-08,0.973413013881626,1.006880663636638e-07,0.012006000736900389
0.25,23,0.25,2,0.5516816769972951,0.6588154521142642,1,0.9736254597523837,6.102189394726131e-09,0.9736254597523837,1.3815994613613977e-07,0.012046283189862209
0.25,23,0.25,3,0.55210438747693,0.6586379484221635,1,0.9736025276892782,8.037110482000972e-08,0.9736025276892782,7.37832382363948e-08,0.012058043815826347
0.25,23,0.25,4,1.346729419705842,0.4767146673407026,0,0.9250515363817737,0.9250515363817737,0.0022141838782750675,0.0024113620668063398,0.0030410562129451276
0.25,23,0.25,5,1.5645915816350768,0.40692273750935204,2,0.9404017411650838,3.750041793909845e-08,1.507249780435255e-07,0.9404017411650838,1.7012683482383546e-08
0.25,23,0.25,6,1.5646598817514203,0.406883297377,2,0.9403935800756035,1.918927329799893e-08,7.365806860009245e-08,0.9403935800756035,7.667952262286238e-09
0.25,23,0.25,7,1.5647428050147862,0.4068324957787604,2,0.9403846568297519,1.2809735793716846e-11,1.1075231001194459e-11,0.9403846568297519,3.3008279935099638e-12
0.25,23,0.25,8,2.0026327377570476,0.5528156931604611,2,0.959117094186569,5.302907266763821e-07,3.7032417587588417e-09,0.959117094186569,6.14874752013623e-09
0.25,23,0.25,9,2.002785227631298,0.5527474801375851,2,0.9591947503738499,1.778270135782694e-07,2.7254672275746706e-07,0.9591947503738499,3.069428033461344e-08
0.25,23,0.25,10,2.491636351826069,0.21494840652901873,3,0.8728825591993726,1.9418987729794003e-12,1.5722257774534601e-10,9.115516342303123e-12,0.8728825591993726
0.25,23,0.25,11,2.8019582824657054,0.375198810366861,1,0.48205416248421207,1.5033835965124664e-07,0.48205416248421207,3.3365170610955224e-07,0.38087364676499863
0.25,23,0.25,12,2.803054415654519,0.3750810859862645,1,0.48178260595383,2.8971036262789165e-09,0.48178260595383,3.2152282640620584e-07,0.3825726091624395
0.25,23,0.25,13,2.8037308668784515,0.3749984220526647,1,0.4812611396224178,4.2277942026030406e-08,0.4812611396224178,1.9885984496771805e-07,0.38304546750444296
0.25,23,0.25,14,2.9580484294010914,0.30908183014946194,3,0.9361306275103668,2.9487538762638374e-08,7.933765508293096e-08,6.387040732654038e-09,0.9361306275103668
0.25,23,0.25,15,2.958057954485225,0.3090766446663361,3,0.9361298048202911,4.8194355316323584e-09,1.6561160982179173e-07,9.782807273499134e-09,0.9361298048202911
0.25,23,0.25,16,2.9580716994704015,0.30906918807338574,3,0.9361285032986445,7.334854609830357e-10,6.749989576746134e-08,3.483310904046223e-09,0.9361285032986445
0.25,23,0.25,17,3.7287424281453356,0.48710922702854376,3,0.5350590193863137,4.342621082412649e-06,0.3797091478818404,6.041407841082489e-07,0.5350590193863137
0.25,29,0.19999999999999973,0,-0.8599249467346567,0.9082402824654532,0,0.997193944722732,0.997193944722732,0.0005013804512721612,0.0006201624216750852,0.000827701653523067
0.25,29,0.19999999999999973,1,0.5541497108287576,0.645311686106665,1,0.9730691664453748,5.658400961704325e-08,0.9730691664453748,8.916439445569035e-08,0.011829048095051291
0.25,29,0.19999999999999973,2,0.5547369283384584,0.645342015828346,1,0.9731696884031623,1.6971690777701585e-08,0.9731696884031623,1.3320445411789337e-07,0.01187659572945199
0.25,29,0.19999999999999973,3,0.555158169453119,0.6449274934384693,1,0.9731467637361926,8.094378297191916e-08,0.9731467637361926,5.987995191584058e-08,0.011888121250461342
0.25,29,0.19999999999999973,4,1.3742940003287791,0.461860741446941,0,0.9233688156559033,0.9233688156559033,0.0005953371825154408,0.0007372751483908547,0.0009817071167679352
0.25,29,0.19999999999999973,5,1.569428391290751,0.3896389410559171,2,0.939826311407482,5.981287867075013e-08,1.4300148094884474e-07,0.939826311407482,1.535647735465886e-08
0.25,29,0.19999999999999973,6,1.569496831556352,0.3893443144800799,2,0.9398183508419682,5.7873064767986653e-08,6.09877707175534e-08,0.9398183508419682,6.229370119257335e-09
0.25,29,0.19999999999999973,7,1.5695724948151706,0.38956968394075275,2,0.9398101330612749,1.7609822649203398e-10,3.1809368120123345e-11,0.9398101330612749,7.538490522531683e-12
0.25,29,0.19999999999999973,8,2.0145845491931826,0.5399353644995746,2,0.9583805838265638,4.3094545775494e-07,8.766716378784258e-10,0.9583805838265638,2.792755156310316e-09
0.25,29,0.19999999999999973,9,2.0147046690391566,0.5399434544279847,2,0.9584216952530383,1.792185594674345e-07,2.4457554971443945e-07,0.9584216952530383,2.7593434157545452e-08
0.25,29,0.19999999999999973,10,2.498483696917101,0.19427890284818158,3,0.8716878163431686,6.889071769503688e-12,3.4763438038697534e-10,2.2310015564647012e-11,0.8716878163431686
0.25,29,0.19999999999999973,11,2.8169386026285888,0.3664526333884949,1,0.47737607038892366,1.1204680758555652e-07,0.47737607038892366,2.934665992097834e-07,0.3828999251264737
0.25,29,0.19999999999999973,12,2.8178485596121785,0.36629608918033685,1,0.4769960336525515,7.441192400158211e-09,0.4769960336525515,3.09669491192266e-07,0.38398172194006985
