stage,nctrl,iteration,energy,R_rms,dmin,Lk512,projected_gradient_over_E,alpha,accepted,path_worst_d,path_worst_lk_error,path_samples
0,16,0,16.14961664276185,0.5806815472927326,0.06558583915991836,-1.0021264527311922,0.09872988717228122,0.015,1,0.06558583915991836,0.008222562594491611,7
0,16,1,16.147033009032477,0.5806142576553027,0.0655856054667567,-1.0021075179588976,0.09106607995832772,0.015,1,0.0655856054667567,0.008177118121391658,7
1,20,0,16.256435437996974,0.5801507726722243,0.06056369925671869,-1.002418383892683,0.1658067852149177,0.015,1,0.06056369925671869,0.009441743962133708,7
1,20,1,16.25081924978868,0.5801441080513199,0.06055243032617979,-1.0024308457690463,0.16283401102609674,0.015,1,0.06055243032617979,0.009492660335952419,7
1,20,2,16.24542194342749,0.5801337324798151,0.06054996047086464,-1.0024412840187298,0.15952492112371092,0.015,1,0.06054996047086464,0.009535610980249576,7
