mode,linked_shift,unlinked_shift,spherical_shift,linked_minus_unlinked,linked_minus_spherical,domain_uncertainty,significant_3sigma
0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,0.1031963294547884,0.06779692423719919,0.11914858157047892,0.03539940521758922,-0.015952252115690513,0.004451172140798931,True
2,0.11915088277551789,0.10377325128547987,0.1191485815704807,0.015377631490038013,2.301205037191778e-06,0.004563671936820057,True
3,0.13572144290098898,0.11451524141906155,0.11914858157045316,0.021206201481927422,0.016572861330535815,0.004633141279750674,True
4,0.14850768556613048,0.11692803719039269,0.14784271743065247,0.03157964837573779,0.0006649681354780057,0.0570391630028535,False
5,0.16978376644634174,0.1316061218282325,0.17323266101093537,0.03817764461810924,-0.0034488945645936298,0.19405211491171492,False
6,0.17481757091649897,0.14366283277873748,0.17323266101093893,0.031154738137761484,0.001584909905560039,0.18471490591757878,False
7,0.1736960526468483,0.13767603556650165,0.17603287360175024,0.036020017080346634,-0.0023368209549019525,0.17921072871549804,False
8,0.1766736886939988,0.1416175380343443,0.1760328736017449,0.035056150659654506,0.000640815092253888,0.23671743862007943,False
9,-0.1128381755181973,-0.14594327742622504,0.1653741064790175,0.033105101908027734,-0.2782122819972148,0.24488801839665264,False
10,0.163805797834927,0.13172908451218923,0.1653741064790104,0.03207671332273776,-0.001568308644083416,0.6460100346352622,False
11,-0.48868976696051725,-0.516775743382647,0.16599810963844241,0.028085976422129733,-0.6546878765989597,0.6478740596768215,False
