seed,modes,transition_entropy,cross_cell_fraction,spectral_gap,H_drop,L1_drop
17,1,0.0,0.0,0.0,1.1102230246251565e-16,-2.220446049250313e-16
17,2,0.06834389868949449,0.08248333333333334,0.0,0.49875039982674074,0.09919748393534977
17,4,0.547901866598257,0.8557333333333333,0.09918966398766449,0.33899689427043345,0.14164631062217448
17,8,0.6362531546541057,0.9168166666666666,0.19597152225526426,0.8568994679455401,0.6553405231417762
17,16,0.713173785081923,0.9547666666666667,0.27081382230872686,0.9036382482671729,0.7019264372288572
17,32,0.7500011571787153,0.9437,0.2385623906655806,0.8793754148601161,0.6573995847697617
17,64,0.7683354244159851,0.9177833333333333,0.20006782574726023,0.800299591436483,0.6273213311453301
29,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16
29,2,0.24583893898100495,0.6099166666666667,0.057434053599696444,0.5552141336268697,0.20743882472630903
29,4,0.4854168442830886,0.77815,0.054716641712735825,0.7955967908177762,0.5617041295514562
29,8,0.574691951733641,0.8550333333333333,0.1027680570996159,0.8707356800388353,0.6623735572811499
29,16,0.7303399750903194,0.9437833333333333,0.2698241387675988,0.8504184891654445,0.6400705570490348
29,32,0.7769095855138785,0.9526,0.2796375716324775,0.8792550005395936,0.657000984243742
29,64,0.7791320376654053,0.9170166666666667,0.20871168890495062,0.6827926462267742,0.5661163762397489
43,1,0.0,0.0,0.0,-2.220446049250313e-16,0.0
43,2,0.18567260168457866,0.36086666666666667,0.032819581816854515,0.7153380107200673,0.3612632410762482
43,4,0.5820123463640968,0.8918,0.11560681780447302,0.762292251951008,0.5264489245439354
43,8,0.5911212356429879,0.8798833333333334,0.1515823448982372,0.8841039037050684,0.6724990373654012
43,16,0.6963039158554508,0.9397333333333333,0.23854980662191083,0.8223433437783696,0.5945647304419213
43,32,0.7575394981798175,0.9467,0.22974480470778513,0.8763989189337194,0.6741159308623521
43,64,0.7663611526890273,0.9120333333333334,0.20659072919831178,0.6447110102649706,0.5032475921800008
