iteration,energy,R_rms,dmin,linking_number,projected_gradient_norm,step,accepted
0,16.304352939995702,0.606775083318175,0.08389453375403615,-1.0066843928074198,6.361486374728497,0.006012388242787617,1
1,16.286512391182935,0.6049507338875035,0.078526113341754,-1.0067614417990425,5.376176057826895,0.00477890675080723,1
2,16.270717687847224,0.6036650123902285,0.07383120593271537,-1.0063470328177389,5.128665465460887,0.0037052226683507994,1
3,16.26050073852359,0.6026934336219719,0.07047911565684443,-1.0062479422811499,4.64988461851582,0.0027662411865430753,1
4,16.25354502692536,0.6019216885917004,0.06811091890077395,-1.0064853617315137,5.226444702621002,0.0020958231313688877,1
5,16.246060039728633,0.6012019366600819,0.06585385674088395,-1.006311929031032,4.630224963108844,0.002,1
