iteration,energy,R_rms,linking_number
0,16.2456064556444,0.5893541045413184,0.1418016804363892
1,16.204611723085968,0.5865188439065014,0.02206272839832735
2,16.171568773805447,0.5814174886133016,-0.008531015570584862
3,16.144220344820397,0.5792052529547524,-0.005077637459496723
4,16.12815046311416,0.5738434865086813,0.006489930267012823
5,16.11529862829058,0.5726361005212308,0.008771152686578547
6,16.107007656263562,0.5719627129212371,0.010860270427647272
7,16.10050844826905,0.5708783418926284,0.013055557312529381
8,16.100211994218853,0.567756105494915,0.017514697466525658
9,16.087364595606978,0.5681283755284433,0.017427290478511506
10,16.083218897612298,0.5670843522372169,0.020477413505693324
11,16.080125061704997,0.5652831691365403,0.023801533538623403
12,16.07316288993069,0.5643004467319798,0.02495289784943262
13,16.065906434763825,0.5615748887703784,0.02792096617405112
14,16.061751059569968,0.5608883051094684,0.027989214360600468
15,16.059316917289095,0.5579932256654494,0.030306875812300838
16,16.052612738696205,0.557564226360418,0.029366296596475
17,16.052578772699366,0.5581949914625554,0.02745898879671537
18,16.049750343250203,0.5575688110505208,0.0283093180952928
19,16.046455310990844,0.5557122205790079,0.030708305308244303
20,16.044589022410413,0.5548499822050884,0.03204112852166089
21,16.043609524825253,0.5539770037829569,0.03234540723433355
22,16.04196730317362,0.5549944761218308,0.03034448055837815
23,16.040061783317228,0.5544472050963337,0.03179766836274791
24,16.03922989316515,0.5544087524345274,0.03247112898181368
25,16.0375283449944,0.5541242857887789,0.03312878939413059
26,16.03719883051999,0.5531740239811691,0.03603248673060786
27,16.036389976377833,0.552645940174817,0.03636363690591009
28,16.03414490337407,0.5529249916895501,0.034909596950440366
29,16.03294062681256,0.5523992335407054,0.03524648379103165
30,16.030893733807883,0.5521275670625858,0.035454818760146854
31,16.02706858893555,0.548447713503172,0.04184319422432876
32,16.02149562859021,0.548525823394402,0.04077491306506735
33,16.01722353968187,0.5475506571585557,0.041380595537742704
34,16.01559485738133,0.5462625456360167,0.04341261462811368
35,16.01352546528478,0.5464448632979456,0.04383859179412647
36,16.010146588448734,0.5456371724695289,0.04684283304686759
37,16.009995381059976,0.5457064365618133,0.04963712720540273
38,16.00497071631469,0.5450076977349252,0.051198258209845436
39,16.001412275933248,0.543815299511018,0.05202676558061512
40,15.995683874914498,0.542707531587896,0.05675361958869596
41,15.994884665724408,0.5435946740142167,0.0586857289733622
42,15.989172636513294,0.5431863348262177,0.06091755283196767
43,15.98621481022612,0.5426183287760135,0.06309556365685226
44,15.983918722430499,0.542277868679321,0.0636375491420559
