box,family,mode,original_gap,sham_gap,unlink_gap,sham_minus_original,unlink_minus_original,unlink_minus_sham,original_outer,sham_outer,unlink_outer
4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.48866213567271e-09,7.514349396884083e-09,7.514697933224579e-09
4.0,0,1,7.796639912037401,7.793956123155339,7.793855428783987,-0.0026837888820621103,-0.002784483253414294,-0.00010069437135218351,5.717113073868303e-05,5.72313509714936e-05,5.722602034052941e-05
4.0,0,2,7.812558395979922,7.8095029746810125,7.809504635560184,-0.0030554212989093443,-0.0030537604197382606,1.6608791710837068e-06,5.839596544635309e-05,5.841919326963554e-05,5.842321655463095e-05
4.0,0,3,7.825391473276578,7.822230989623763,7.822192112221739,-0.0031604836528149605,-0.0031993610548388673,-3.887740202390688e-05,5.948639412300372e-05,5.949948823688575e-05,5.949952660751565e-05
4.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.48866213567271e-09,7.515173870857983e-09,7.516889589124368e-09
4.0,1,1,7.796639912037401,7.793203145029368,7.792917438468244,-0.0034367670080328594,-0.0037224735691570032,-0.00028570656112414383,5.717113073868303e-05,5.719055110686909e-05,5.718746694607209e-05
4.0,1,2,7.812558395979922,7.810940208116421,7.810946295081474,-0.001618187863500431,-0.0016121008984475438,6.086965052887194e-06,5.839596544635309e-05,5.856752479569028e-05,5.858969344964201e-05
4.0,1,3,7.825391473276578,7.822449214221922,7.8223106561173035,-0.002942259054655949,-0.0030808171592742184,-0.00013855810461826934,5.948639412300372e-05,5.955183426709149e-05,5.95627834833679e-05
4.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,7.48866213567271e-09,7.527915357162077e-09,7.53612936716891e-09
4.0,2,1,7.796639912037401,7.792487876280969,7.791590256159436,-0.004152035756431971,-0.005049655877964909,-0.0008976201215329382,5.717113073868303e-05,5.718414761760609e-05,5.7187551316553106e-05
4.0,2,2,7.812558395979922,7.803897446681138,7.80226133814246,-0.008660949298783471,-0.010297057837461487,-0.001636108538678016,5.839596544635309e-05,5.801826596542963e-05,5.7959817400699466e-05
4.0,2,3,7.825391473276578,7.820730053937054,7.8198347474452845,-0.004661419339523576,-0.0055567258312931855,-0.0008953064917696096,5.948639412300372e-05,5.947396276928236e-05,5.948218151293368e-05
4.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,7.48866213567271e-09,7.497294507573441e-09,7.496589387951045e-09
4.0,3,1,7.796639912037401,7.794856443820338,7.794854653600534,-0.001783468217062989,-0.0017852584368673874,-1.7902198043984185e-06,5.717113073868303e-05,5.714238075850957e-05,5.713553526701795e-05
4.0,3,2,7.812558395979922,7.814721837621322,7.8149931526557594,0.0021634416414002544,0.0024347566758375905,0.00027131503443733607,5.839596544635309e-05,5.871163835019437e-05,5.8729238638631343e-05
4.0,3,3,7.825391473276578,7.824093699179033,7.824184431845688,-0.0012977740975443908,-0.001207041430889788,9.073266665460267e-05,5.948639412300372e-05,5.9506321785169944e-05,5.950843032113633e-05
4.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,7.48866213567271e-09,7.53335670302488e-09,7.537409883025721e-09
4.0,4,1,7.796639912037401,7.7915647479898515,7.791039128517821,-0.005075164047549485,-0.005600783519580155,-0.0005256194720306695,5.717113073868303e-05,5.725405606515559e-05,5.725646583312929e-05
4.0,4,2,7.812558395979922,7.806901379118612,7.80635678010156,-0.005657016861309927,-0.006201615878361544,-0.0005445990170516168,5.839596544635309e-05,5.837707486241687e-05,5.8371972204698115e-05
