pair,family,linked_lk,unlinked_lk,sham_lk,linked_dmin,unlinked_dmin,sham_dmin,mode,width,tilt,amplitude,compensation_scale,sham_fraction,field_rel_l2_unlinked,residual_alignment_at_selection,surgery_scar_at_selection,field_rel_l2_sham,disturbance_ratio,descriptor_rms_unlinked,descriptor_rms_sham
0,0,-1.0001749720390383,-0.0004617984861492879,-0.9991435107075856,0.06530864979203387,0.05559076818270838,0.02570502670175477,split,12.164242305009662,-0.10587798071873866,0.32999999999999996,0.0,0.30627118644067797,0.02487063126946275,0.0,0.9995683319095773,0.011465527560633779,0.4610066964690058,0.1698599220665311,0.0734839779803866
1,1,-1.0001594361136397,0.004296884040698002,-0.9993168901723818,0.06573480696728821,0.05301835941555789,0.03109769905720596,split,9.486022898500504,-0.9993459690086592,0.12499999999999999,0.0058971074299301865,0.3543220338983051,0.01675208143350955,0.029275070738993443,0.3361853973006675,0.016638625648267277,0.9932273618838,0.10028331679593372,0.030031293606504732
2,2,-1.000210238160669,0.0008553096744027377,-0.9998340474109332,0.05848529984412268,0.05666218794714518,0.033297254299318915,split,10.757842555680913,-0.3705207081387807,0.145,0.0,0.25822033898305086,0.010586258558518974,0.27625015633579947,0.999608344699023,0.010387802650178328,0.9812534421633842,0.07006699757609453,0.023572873226933078
3,3,-1.0001633535563548,0.004982794063565322,-0.99995521816153,0.05861346269795896,0.05534183179386092,0.047478368166999775,split,8.891443212861784,-0.4752743315455612,0.13499999999999998,0.0,0.1140677966101695,0.0037461168361362235,0.39297798161124187,0.9999999148882468,0.0038480387039003063,1.0272073382177813,0.07633368281441617,0.018770401130370627
4,4,-1.0001882248605514,-0.0011057623992948872,-1.0000136152355024,0.06050103065633174,0.05570243047882964,0.026456123292199395,split,16.75547993325973,0.670647763127832,0.205,0.0,0.2902542372881356,0.03602431339905252,0.5404388566804587,0.9909025896490243,0.017236426459774235,0.4784664809247293,0.07283638235781151,0.028992350563434265
5,0,-1.0001545017216589,0.0008435642378467745,-1.0000303567302797,0.05783591097917446,0.05758522368418981,0.04532789804994441,split,12.901793660323776,-0.5043080158764679,0.145,0.0050780459075227815,0.09805084745762713,0.01833639541261186,0.37854301332787593,0.5337874299455535,0.018892957176872775,1.0303528448060248,0.07275486522423458,0.021484912896596698
