iteration,energy,R_rms,dmin512,Lk512,dmin128,Lk128,dmin256,Lk256,projected_L_gradient_over_E,lambda,rho,trust,alpha,accepted,path_worst_d,path_worst_lk_error,path_samples
0,16.14857308902424,0.5823726813437706,0.06578798030015129,-1.0018587677147355,0.06578798030015129,-1.0073146193671279,0.0660185023664668,-1.0036974867529571,0.2748377554113155,0.010600984992435725,50.0,0.12,0.03125,1,0.06578798030015129,0.007910996952950056,7
1,16.143701958897896,0.5820860771120555,0.06578366724854354,-1.0019537014709066,0.06578366724854354,-1.0076916417563546,0.06596668430872583,-1.0038871014810915,0.2508041483188714,0.02141762256525903,50.0,0.12,0.03125,1,0.06578366724854354,0.007691641756354617,7
2,16.141189428408197,0.5817205237224528,0.06577671298577892,-1.0019536124763877,0.06577671298577892,-1.0076574753684793,0.06600760597783806,-1.0038815306956574,0.28335755999914125,0.03258197327631329,50.0,0.12,0.03125,1,0.06577671298577892,0.007691641756354617,7
3,16.13911387042032,0.581633136744907,0.06577939024987046,-1.0019968311436664,0.06577939024987046,-1.0078448506773623,0.06599569481821083,-1.0039704203346491,0.2429518970920602,0.04361246078279021,50.0,0.12,0.015625,1,0.06577671298577892,0.007844850677362292,7
4,16.13741699427374,0.5813939401923087,0.06578209800422656,-1.0019422015635366,0.06578209800422656,-1.0076313911690504,0.06600349302306761,-1.0038618510898474,0.25974049501060253,0.05450756057146233,50.0,0.12,0.015625,1,0.06577939024987046,0.007844850677362292,7
