seed,E0,Ef,drop,R_rms,Lk,monotone
0,19.066755443927327,16.74678499192794,0.12167620541534184,0.6482055224658116,-1.191837090673057,True
1,19.15283657752836,17.00870541189742,0.1119484916477911,0.6207631228497069,-0.8018148884629891,True
2,19.144078746980668,16.054532255718186,0.16138392095518064,0.6229802315195764,-0.8247615841332865,True
3,18.541895121771052,16.83242057806887,0.09219524393140346,0.650961298049426,-0.8007788116857558,True
4,19.569972099941875,17.33106525520701,0.11440521393188462,0.6696072288093181,-0.8971833754186643,True
