K,E0,Ef,drop,R,Lk,accepted,last_rel_change,mode_amplitudes
4,19.58719591987908,16.621601002468907,0.15140477123631488,0.6077333657091805,0.8936026520423599,169,0.0,0.50042881;0.29302863;0.096803152;0.079993004
5,16.621601002468907,16.476483320504826,0.008730668119306046,0.6028456963314613,0.7801921061247687,21,0.0,0.50622978;0.28492166;0.089811842;0.04809464;0.020716243
6,16.476483320504826,16.298348274976224,0.010811472452189783,0.5916272693479917,0.8626687223842151,40,0.0,0.50682516;0.26044445;0.099441789;0.044222;0.038188224;0.025245639
8,16.298348274976224,16.284581491439422,0.0008446735401978723,0.5936481319818185,0.8318343817319688,11,0.0,0.50511849;0.26152966;0.09614083;0.039984103;0.034655903;0.020974987;0.0046564409;0.0055490444
