stage,nctrl,iteration,energy,R_rms,dmin,Lk512,projected_gradient_over_E,alpha,accepted,path_worst_d,path_worst_lk_error,path_samples
0,16,0,16.15908893551289,0.5828710729757824,0.0659729507688985,-1.0019626297456508,0.08792443856133252,0.015,1,0.0659729507688985,0.007617832804548197,7
0,16,1,16.157006524991342,0.5828245338623023,0.06597295193127446,-1.0019498170455743,0.08489745214362356,0.042630996230842814,1,0.0659729507688985,0.00755284060933703,7
0,16,2,16.155261481120917,0.5827741867655517,0.06597295968674156,-1.0019384348423763,0.0869893760988209,0.021598883755188394,1,0.06597295193127446,0.007499488253245978,7
0,16,3,16.153451059265524,0.582723541717414,0.06597296989491526,-1.0019292520870515,0.0860405016069584,0.05226328471628974,1,0.06597295968674156,0.007453178112393877,7
1,20,0,16.242400594765538,0.6144860158020803,0.06408954608846039,-1.002713542111439,0.15291682638249493,0.015,1,0.06408954608846039,0.011496791998105715,7
1,20,1,16.236629689440708,0.6144538209274905,0.06408902132845154,-1.0027238282332482,0.14789166883387334,0.015,1,0.06408902132845154,0.011532151624744635,7
1,20,2,16.234246903549476,0.6144408085340145,0.06408450734249188,-1.0027252340983344,0.14688461267018613,0.022219428778100687,1,0.06408450734249188,0.011535862313766243,7
1,20,3,16.228949266868305,0.6143884012908398,0.06407243881672747,-1.0027186568946258,0.14527948519422063,0.015,1,0.06407243881672747,0.011535862313766243,7
