mode,linked_minus_surgery,combined_domain_uncertainty,significant_3sigma,coarse_contrast
0,0.0,0.0,False,0.0
1,-0.0013487197258275074,5.4206183270899544e-05,True,-0.0013486719469364417
2,-0.0017902313709825535,5.543842352384587e-05,True,-0.001790205413322532
3,-0.00262890513374181,5.65900865350244e-05,True,-0.0026289201320359723
