index,eigenvalue
0,-16.697388805801165
1,4.5326942743798435
2,6.985340296536672
3,8.949922944302244
4,13.85668006646718
5,30.86553461279477
6,33.08380649071731
7,41.41804263861868
8,51.3268736521043
9,56.86152988128248
10,66.7251853019169
11,70.94497789148997
12,84.10246681543055
13,100.20815160391592
14,105.75948192158916
15,115.62444486062175
16,125.36822518799988
17,147.69295036536076
18,188.59559318736194
19,313.2157712392434
