pair,family,linked_lk,unlinked_lk,sham_lk,linked_dmin,unlinked_dmin,sham_dmin,mode,width,tilt,amplitude,sham_fraction,field_rel_l2_unlinked,field_rel_l2_sham,disturbance_ratio,descriptor_rms_unlinked,descriptor_rms_sham
0,0,-1.000129323002562,0.00041257286908927867,-0.99974574558876,0.0691774285219786,0.0578690848622871,0.04492985268932216,split,8.023917692039081,-0.7799292388116015,0.16499999999999998,0.2353191489361702,0.00782296344423388,0.007920065812773195,1.0124124788811186,0.08133847898835075,0.05624608263581905
1,1,-1.0001579583510711,0.00030117212637384894,-1.0000442243605085,0.06102975522947855,0.05582070523745957,0.0530114126092356,split,8.24211061669873,-0.7579026855460527,0.12,0.07106382978723404,0.003034504718662343,0.0034081867612508997,1.1231443274055217,0.08026866458085938,0.021508680212241053
2,2,-1.0001577101011334,2.8703839075722466e-05,-1.0000287370595509,0.0642586664777719,0.0555833575973579,0.04371353549046783,split,11.613325618474477,-0.1306003671903554,0.12499999999999999,0.17372340425531912,0.008303848206117128,0.008675531594798532,1.0447603784962736,0.05699295667935264,0.02358125532722495
3,3,-1.0001704783841028,9.55528927298371e-05,-0.9999052767678167,0.06270628679753384,0.05709723428121244,0.0449756337062789,split,9.720334890541054,0.44521735895253756,0.20999999999999996,0.1326595744680851,0.008068484973571058,0.00755572851970375,0.9364494752674287,0.07747945296332681,0.027325899261052163
4,4,-1.0001181661587895,0.00028301932037803825,-0.9980900372348407,0.06027495663252667,0.05582412448466755,0.028403991836913608,split,8.691538838993665,0.041445091755375585,0.29499999999999993,0.2558510638297872,0.012918011284147093,0.011109559923279898,0.8600054357371159,0.11095211172198133,0.043493995708238906
