family,offset,width,tilt,mode,tc,x,amplitude,lk,dmin,sector,E0,gap1,gap2,gap3,elapsed
0,0,18.0,-0.65,a,0.05969182968139648,-0.015000000000000013,0.05819182968139648,-0.9453964311008504,0.00401987842668374,linked,-15.27811809460794,7.793799995043471,7.809364940038585,7.822078465936196,0.1294388771057129
0,0,18.0,-0.65,a,0.05969182968139648,-0.030000000000000027,0.05669182968139648,-0.982022132326471,0.005510901703147892,linked,-15.278170655669848,7.7938532974788695,7.809412038342565,7.822130403372951,0.1572885513305664
0,0,18.0,-0.65,a,0.05969182968139648,-0.059999999999999984,0.053691829681396484,-0.9982190240916763,0.008502427160207857,linked,-15.278272453340813,7.79395612315533,7.809502974681019,7.822230989623755,0.1785585880279541
0,0,18.0,-0.65,a,0.05969182968139648,-0.10000000000000002,0.04969182968139648,-0.9998912330784111,0.012497449379446048,linked,-15.278403909912836,7.794087166130772,7.809619604660926,7.82236014102215,0.16804003715515137
0,0,18.0,-0.65,a,0.05969182968139648,0.015000000000000013,0.061191829681396484,-0.6578802199474986,0.0011127409997098653,transition,-15.278088322290222,7.79374983175757,7.809346107146541,7.8220492346344885,0.1459026336669922
0,0,18.0,-0.65,a,0.05969182968139648,0.030000000000000027,0.06269182968139649,-0.40011540974811466,0.0007263453145676096,transition,-15.27812633795816,7.793775616483512,7.809389460831632,7.822087376339769,0.14030671119689941
0,0,18.0,-0.65,a,0.05969182968139648,0.06000000000000005,0.06569182968139649,-0.07217328648434816,0.0035505418576764294,unlinked,-15.278230859117018,7.793855428784022,7.809504635560204,7.822192112221772,0.16588234901428223
0,0,18.0,-0.65,a,0.05969182968139648,0.09999999999999995,0.06969182968139648,-0.004159226967856114,0.00753069545964622,unlinked,-15.278375099058628,7.793965731051949,7.8096627613972815,7.822335363215778,0.14643645286560059
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,-0.015,0.12487085053920746,-0.9745872773010215,0.0037759657234048695,linked,-15.277759270196734,7.79303553742165,7.810863284349386,7.822316328572922,0.13048076629638672
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,-0.03,0.12296926398277283,-1.012818354976376,0.0051787076991295315,linked,-15.277817842389181,7.7930916264072,7.810889022829555,7.822360768885643,0.21337342262268066
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,-0.06,0.11916609086990357,-1.0008309761209915,0.006719687429246569,linked,-15.277934317787293,7.793203145029388,7.810940208116415,7.822449214221935,0.1732330322265625
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,-0.10000000000000006,0.11409519338607788,-0.9993991136342636,0.009012917663722086,linked,-15.278088687580084,7.793350460652708,7.811007602879779,7.8225667567242665,0.1441025733947754
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,0.015,0.12867402365207672,-0.6774844770535787,0.0014378969404366636,transition,-15.277699219281542,7.792966704583198,7.810867673827089,7.822284791247821,0.16709351539611816
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,0.03,0.13057561020851136,-0.47274272651282223,0.0015614974758227421,transition,-15.277693473715878,7.792950577303093,7.810894103396269,7.822293529557741,0.17107868194580078
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,0.06,0.13437878332138062,-0.009411900531136379,0.004013919645776034,unlinked,-15.277681281910716,7.792917438468285,7.810946295081478,7.822310656117325,0.14431428909301758
1,-52,38.0665422445,-0.6509443677,split,0.1267724370956421,0.10000000000000006,0.1394496808052063,-0.009532688544649635,0.005266924228381182,unlinked,-15.277665511445603,7.7928725257799725,7.811014239716469,7.822334659465079,0.1651310920715332
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,-0.014999999999999953,0.3853083079814911,-0.9725483004186929,0.00461920279064088,linked,-15.276807973246092,7.792170219628583,7.803368298160979,7.820424891839792,0.11783862113952637
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,-0.030000000000000047,0.3794406687736511,-1.045694652931621,0.006135348273040862,linked,-15.276980882185656,7.792332385073977,7.803635698076602,7.820581436610329,0.18480396270751953
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,-0.05999999999999995,0.36770539035797123,-1.0145985941398763,0.008721277058550346,linked,-15.277294573132766,7.792631323623864,7.804148064903652,7.820865626107863,0.17757010459899902
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,-0.10000000000000002,0.35205835247039796,-0.9992421590021555,0.009633039761899715,linked,-15.277713577459341,7.793046736217439,7.804771780893394,7.821244931222776,0.17019248008728027
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,0.014999999999999953,0.397043586397171,-0.572823978918061,0.0037857316379026674,transition,-15.276474505684362,7.791865036946979,7.80280246356954,7.820106184613782,0.14649367332458496
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,0.030000000000000047,0.402911225605011,-0.2670715769296864,0.0022767178293421056,transition,-15.276331699561892,7.791727914756826,7.8025325405218116,7.8199697163977735,0.17168474197387695
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,0.05999999999999995,0.4146465040206909,-0.03840951623959869,0.005235662040856697,unlinked,-15.276065817994159,7.791467680994633,7.801985375180245,7.819719200842055,0.16538047790527344
2,-30,40.5072345966,0.0878828015,a,0.3911759471893311,0.10000000000000002,0.4302935419082642,-0.004277155562877576,0.010434764868352812,unlinked,-15.275713986693559,7.791113427796202,7.801227125656021,7.819390914799666,0.15290570259094238
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,-0.015000000000000015,0.20627938017845154,-0.9923189837236535,0.003807062318746718,linked,-15.280077898532387,7.794859966480895,7.814793708388987,7.824120413291918,0.13030147552490234
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,-0.03000000000000003,0.20313806982040405,-0.9990433093530016,0.005264264369690076,linked,-15.280056449641068,7.794856443820258,7.814721837621251,7.824093699178962,0.14748167991638184
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,-0.06000000000000006,0.19685544910430908,-0.9997027801059437,0.008843845998824795,linked,-15.279996076567425,7.794832536280519,7.81456452260715,7.824023629029028,0.17125487327575684
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,-0.09999999999999998,0.18847862148284913,-0.9997587108088098,0.013403939478951455,linked,-15.279963843573068,7.794842942177526,7.814390459652633,7.823977661112798,0.16893720626831055
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,0.015000000000000015,0.21256200089454652,-0.2536876063795307,0.0021291434861149478,transition,-15.280102845677744,7.79485001233688,7.814921781879867,7.824156725130656,0.1471850872039795
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,0.03000000000000003,0.215703311252594,-0.035320759297083025,0.002939723763907412,unlinked,-15.280124868430002,7.794854653600578,7.81499315265578,7.824184431845717,0.16678690910339355
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,0.06000000000000006,0.221985931968689,-0.0014995397715821784,0.006731703187575097,unlinked,-15.280158892406078,7.794853701738195,7.815125528396299,7.824229490516009,0.16938257217407227
3,-39,26.7003733344,-0.1390074445,b,0.20942069053649903,0.09999999999999998,0.23036275959014893,-0.0004868028107005309,0.012155630181266579,unlinked,-15.280167259111257,7.79481682471579,7.8152715095203105,7.824254339614181,0.1881427764892578
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,-0.014999999999999989,0.27049494531154633,-1.097590573236227,0.005010783788498245,linked,-15.275530255880941,7.791335745652634,7.806664588167162,7.820689307677124,0.12598752975463867
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,-0.029999999999999978,0.2663757329463959,-1.0637316467749491,0.006478059007820551,linked,-15.275586590076518,7.791394120173078,7.806726034264855,7.820713363236199,0.161529541015625
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,-0.059999999999999956,0.258137308216095,-0.9938834051798526,0.007276557862222372,linked,-15.27576854309664,7.79156474798973,7.806901379118473,7.82083168454734,0.14943313598632812
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,-0.10000000000000006,0.24715274190902708,-1.0002203473330855,0.010591357509538825,linked,-15.276008386046975,7.791791613072869,7.8071323652391165,7.820987586944521,0.17006397247314453
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,0.014999999999999989,0.27873337004184723,-0.706546544802187,0.0032663084978825623,transition,-15.275414722327463,7.791220550610923,7.806540894325243,7.820638891018833,0.17435526847839355
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,0.029999999999999978,0.2828525824069977,0.3348937232172649,0.004389957176214345,transition,-15.275354585112815,7.791160543002784,7.806477768400578,7.820611954617036,0.14428997039794922
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,0.059999999999999956,0.2910910071372986,-0.05974463280208275,0.003952355626180461,unlinked,-15.275238146443607,7.791039128517859,7.806356780101586,7.820561604888637,0.14522886276245117
4,97,37.6131351141,0.9683059999,split,0.2746141576766968,0.10000000000000006,0.3020755734443665,0.021302116878226376,0.007530388294557158,unlinked,-15.27507463118206,7.790870564302526,7.806191330261494,7.820486535253183,0.18032455444335938
