box,grid_n,h,control,mode,eigenvalue,excitation_gap,outer_shell_probability
4.0,31,0.25,off,0,-15.095190230103078,0.0,8.940196630751886e-09
4.0,31,0.25,off,1,-7.405167722512689,7.690022507590389,6.44828170091224e-05
4.0,31,0.25,off,2,-7.4051677225126165,7.690022507590462,6.44828167799006e-05
4.0,31,0.25,off,3,-5.901197928934736,9.193992301168343,0.0014785881301266047
4.0,31,0.25,linked,0,-15.281775764116919,0.0,7.487077077516683e-09
4.0,31,0.25,linked,1,-7.4848681897394815,7.796907574377437,5.716969958952443e-05
4.0,31,0.25,linked,2,-7.469155385558618,7.812620378558301,5.838103117090883e-05
4.0,31,0.25,linked,3,-7.456307304472643,7.825468459644275,5.947276248779516e-05
4.0,31,0.25,center_B_narrow,0,-15.283474549410604,0.0,7.474107954567195e-09
4.0,31,0.25,center_B_narrow,1,-7.485531325065284,7.79794322434532,5.710582392768472e-05
4.0,31,0.25,center_B_narrow,2,-7.469534804007971,7.813939745402633,5.8344877380084454e-05
4.0,31,0.25,center_B_narrow,3,-7.45603230530783,7.827442244102774,5.949991508077899e-05
4.0,31,0.25,center_A_wide_tilt,0,-15.28020130170186,0.0,7.498467113687876e-09
4.0,31,0.25,center_A_wide_tilt,1,-7.48530012717729,7.79490117452457,5.713366228747936e-05
4.0,31,0.25,center_A_wide_tilt,2,-7.4684490000463635,7.811752301655496,5.844713459812098e-05
4.0,31,0.25,center_A_wide_tilt,3,-7.455130943770846,7.825070357931014,5.9581869236601105e-05
4.0,31,0.25,center_split_mid_tilt,0,-15.281630896882676,0.0,7.4880880624383e-09
4.0,31,0.25,center_split_mid_tilt,1,-7.485191897754323,7.796438999128354,5.714011213596518e-05
4.0,31,0.25,center_split_mid_tilt,2,-7.469068113303756,7.812562783578921,5.838813877780012e-05
4.0,31,0.25,center_split_mid_tilt,3,-7.455911351335777,7.8257195455468995,5.951038999169349e-05
4.0,31,0.25,left_split_narrow,0,-15.281545803536797,0.0,7.488912431996845e-09
4.0,31,0.25,left_split_narrow,1,-7.484827623647267,7.79671817988953,5.7173437534990026e-05
4.0,31,0.25,left_split_narrow,2,-7.469215352434969,7.812330451101828,5.8375535683358615e-05
4.0,31,0.25,left_split_narrow,3,-7.456277980318566,7.8252678232182316,5.9475486794380564e-05
4.0,31,0.25,right_split_mid,0,-15.281683148597574,0.0,7.487720352343024e-09
4.0,31,0.25,right_split_mid,1,-7.48505024492834,7.796632903669234,5.715376179371367e-05
4.0,31,0.25,right_split_mid,2,-7.468996983230258,7.8126861653673165,5.838911105926087e-05
4.0,31,0.25,right_split_mid,3,-7.456250467436815,7.825432681160759,5.9477463534632824e-05
4.0,31,0.25,far_right_split_narrow,0,-15.281159046507565,0.0,7.49165869181145e-09
4.0,31,0.25,far_right_split_narrow,1,-7.484854699795426,7.796304346712138,5.717198003706038e-05
4.0,31,0.25,far_right_split_narrow,2,-7.468678082966524,7.812480963541041,5.842094115429769e-05
4.0,31,0.25,far_right_split_narrow,3,-7.456410870332489,7.824748176175076,5.946219326057092e-05
5.0,39,0.25,off,0,-15.095190232353868,0.0,9.522645415999767e-12
5.0,39,0.25,off,1,-7.405198587743692,7.689991644610176,8.830655726760197e-07
5.0,39,0.25,off,2,-7.405198587743684,7.689991644610184,8.830655650756513e-07
5.0,39,0.25,off,3,-5.902083107692449,9.19310712466142,4.5203346614690916e-05
5.0,39,0.25,linked,0,-15.281775765980957,0.0,7.588238499058273e-12
5.0,39,0.25,linked,1,-7.484895318584593,7.796880447396363,7.555324503349776e-07
5.0,39,0.25,linked,2,-7.469183119613285,7.812592646367672,7.769394625886e-07
5.0,39,0.25,linked,3,-7.456335593880749,7.825440172100207,7.960133298949569e-07
5.0,39,0.25,center_B_narrow,0,-15.283474551271228,0.0,7.571682230561927e-12
5.0,39,0.25,center_B_narrow,1,-7.485558421304735,7.7979161299664925,7.544647579545378e-07
5.0,39,0.25,center_B_narrow,2,-7.469562520199252,7.813912031071975,7.763275516245895e-07
5.0,39,0.25,center_B_narrow,3,-7.456060608216543,7.827413943054685,7.964742076230828e-07
5.0,39,0.25,center_A_wide_tilt,0,-15.280201303568976,0.0,7.602955792787223e-12
5.0,39,0.25,center_A_wide_tilt,1,-7.485327237645907,7.794874065923069,7.549131155209176e-07
5.0,39,0.25,center_A_wide_tilt,2,-7.468476766675219,7.811724536893757,7.780631333526823e-07
5.0,39,0.25,center_A_wide_tilt,3,-7.455159289170891,7.825042014398085,7.978927542802183e-07
5.0,39,0.25,center_split_mid_tilt,0,-15.281630898746956,0.0,7.589554574981423e-12
5.0,39,0.25,center_split_mid_tilt,1,-7.485219011435049,7.796411887311907,7.550326326941622e-07
5.0,39,0.25,center_split_mid_tilt,2,-7.469095850971198,7.812535047775758,7.770645406094802e-07
5.0,39,0.25,center_split_mid_tilt,3,-7.455939659901435,7.825691238845521,7.966577044639018e-07
5.0,39,0.25,left_split_narrow,0,-15.281545805401421,0.0,7.590561562681562e-12
5.0,39,0.25,left_split_narrow,1,-7.484854754410695,7.796691050990726,7.555954222243309e-07
5.0,39,0.25,left_split_narrow,2,-7.469243083647682,7.812302721753739,7.768455643147489e-07
5.0,39,0.25,left_split_narrow,3,-7.4563062711146575,7.825239534286764,7.960601487325478e-07
5.0,39,0.25,right_split_mid,0,-15.281683150461769,0.0,7.589076406973722e-12
5.0,39,0.25,right_split_mid,1,-7.485077365492874,7.796605784968895,7.552604371682586e-07
5.0,39,0.25,right_split_mid,2,-7.4690247209461065,7.812658429515662,7.771012641896602e-07
5.0,39,0.25,right_split_mid,3,-7.4562787591960715,7.825404391265697,7.960963355806072e-07
5.0,39,0.25,far_right_split_narrow,0,-15.281159048372785,0.0,7.594123802274881e-12
5.0,39,0.25,far_right_split_narrow,1,-7.484881829580827,7.796277218791959,7.555667475294144e-07
5.0,39,0.25,far_right_split_narrow,2,-7.468705837191234,7.812453211181552,7.776357802609439e-07
5.0,39,0.25,far_right_split_narrow,3,-7.456439154372173,7.824719894000612,7.958350663742595e-07
